Team,Player,Score
Chennai Super Kings,Nathan Ellis,70.1
Chennai Super Kings,Akeal Hosein,68.9
Chennai Super Kings,Matthew Short,68.7
Chennai Super Kings,Matt Henry,68.5
Chennai Super Kings,Urvil Patel,81.5
Chennai Super Kings,Prashant Veer,81.1
Chennai Super Kings,Sanju Samson,77.8
Chennai Super Kings,Kartik Sharma,74.0
Chennai Super Kings,Anshul Kamboj,72.7
Chennai Super Kings,MS Dhoni,70.9
Chennai Super Kings,Aman Khan,69.5
Delhi Capitals,Mitchell Starc,66.7
Delhi Capitals,Kyle Jamieson,63.2
Delhi Capitals,Tristan Stubbs,60.2
Delhi Capitals,Pathum Nissanka,58.3
Delhi Capitals,Nitish Rana,79.3
Delhi Capitals,Sahil Parakh,75.8
Delhi Capitals,Tripurana Vijay,75.8
Delhi Capitals,Sameer Rizvi,71.7
Delhi Capitals,Kuldeep Yadav,70.9
Delhi Capitals,Karun Nair,69.6
Delhi Capitals,Abishek Porel,67.7
Gujarat Titans,Luke Wood,67.1
Gujarat Titans,Jason Holder,65.7
Gujarat Titans,Glenn Phillips,62.0
Gujarat Titans,Jos Buttler,59.1
Gujarat Titans,Shahrukh Khan,80.4
Gujarat Titans,Shubman Gill,80.2
Gujarat Titans,Anuj Rawat,78.6
Gujarat Titans,Sai Sudharsan,78.4
Gujarat Titans,Ashok Sharma,77.4
Gujarat Titans,Sai Kishore,75.5
Gujarat Titans,Washington Sundar,74.8
Kolkata Knight Riders,Rovman Powell,91.4
Kolkata Knight Riders,Rachin Ravindra,79.2
Kolkata Knight Riders,Cameron Green,74.6
Kolkata Knight Riders,Finn Allen,69.2
Kolkata Knight Riders,Umran Malik,89.6
Kolkata Knight Riders,Harshit Rana,79.8
Kolkata Knight Riders,Daksh Kamra,79.7
Kolkata Knight Riders,Ramandeep Singh,71.1
Kolkata Knight Riders,Ajinkya Rahane,70.3
Kolkata Knight Riders,Rinku Singh,69.7
Kolkata Knight Riders,Manish Pandey,68.2
Lucknow Super Giants,Wanindu Hasaranga,76.4
Lucknow Super Giants,Nicholas Pooran,69.1
Lucknow Super Giants,Mitchell Marsh,66.1
Lucknow Super Giants,Josh Inglis,66.1
Lucknow Super Giants,Shahbaz Ahmed,84.1
Lucknow Super Giants,Arjun Tendulkar,78.9
Lucknow Super Giants,Arshin Kulkarni,78.1
Lucknow Super Giants,Prince Yadav,72.8
Lucknow Super Giants,Mayank Yadav,70.5
Lucknow Super Giants,M Siddharth,68.9
Lucknow Super Giants,Mohammed Shami,68.0
Mumbai Indians,Will Jacks,77.5
Mumbai Indians,Corbin Bosch,75.3
Mumbai Indians,Sherfane Rutherford,68.5
Mumbai Indians,Trent Boult,65.0
Mumbai Indians,Robin Minz,89.1
Mumbai Indians,Raj Bawa,81.1
Mumbai Indians,Hardik Pandya,76.4
Mumbai Indians,Mohammad Izhar,75.5
Mumbai Indians,Suryakumar Yadav,75.3
Mumbai Indians,Naman Dhir,74.0
Mumbai Indians,Danish Malewar,70.6
Punjab Kings,Xavier Bartlett,72.1
Punjab Kings,Mitch Owen,71.2
Punjab Kings,Azmatullah Omarzai,69.8
Punjab Kings,Lockie Ferguson,69.3
Punjab Kings,Shreyas Iyer,76.6
Punjab Kings,Musheer Khan,76.1
Punjab Kings,Arshdeep Singh,75.6
Punjab Kings,Vishal Nishad,74.9
Punjab Kings,Pyla Avinash,73.5
Punjab Kings,Shashank Singh,71.8
Punjab Kings,Priyansh Arya,69.5
Rajasthan Royals,Lhuan-dre Pretorius,87.6
Rajasthan Royals,Jofra Archer,78.0
Rajasthan Royals,Nandre Burger,67.8
Rajasthan Royals,Donovan Ferreira,64.2
Rajasthan Royals,Vaibhav Suryavanshi,75.9
Rajasthan Royals,Kuldeep Sen,72.7
Rajasthan Royals,Tushar Deshpande,70.4
Rajasthan Royals,Ravindra Jadeja,69.4
Rajasthan Royals,Yash Raj Punja,65.1
Rajasthan Royals,Yudhvir Singh Charak,62.4
Rajasthan Royals,Vignesh Puthur,62.2
Royal Challengers Bengaluru,Tim David,77.4
Royal Challengers Bengaluru,Nuwan Thushara,73.1
Royal Challengers Bengaluru,Jacob Duffy,71.0
Royal Challengers Bengaluru,Jacob Bethell,69.4
Royal Challengers Bengaluru,Yash Dayal,84.2
Royal Challengers Bengaluru,Vicky Ostwal,83.3
Royal Challengers Bengaluru,Abhinandan Singh,79.1
Royal Challengers Bengaluru,Devdutt Padikkal,78.3
Royal Challengers Bengaluru,Bhuvneshwar Kumar,77.2
Royal Challengers Bengaluru,Virat Kohli,76.9
Royal Challengers Bengaluru,Satvik Deswal,76.8
Sunrisers Hyderabad,Jack Edwards,71.8
Sunrisers Hyderabad,Kamindu Mendis,71.6
Sunrisers Hyderabad,Brydon Carse,69.3
Sunrisers Hyderabad,Travis Head,68.6
Sunrisers Hyderabad,Jaydev Unadkat,82.5
Sunrisers Hyderabad,Praful Hinge,79.6
Sunrisers Hyderabad,Nitish Kumar Reddy,79.0
Sunrisers Hyderabad,Aniket Verma,78.8
Sunrisers Hyderabad,Harsh Dubey,78.6
Sunrisers Hyderabad,Shivang Kumar,76.9
Sunrisers Hyderabad,Sakib Hussain,76.3
